;X1;X2;Y
124;248.44;488.44;3
125;293.19;325.57;2
126;526.19;410.03;1
127;144.96;234.02;2
128;399.56;224.18;2
129;410.56;611.17;3
130;374.76;422.08;2
131;282.4;373.68;2
132;696.47;571.81;1
133;525.87;418.22;1
134;201.9;708.96;3
135;235.86;553.52;3
136;564.66;501.19;1
137;170.24;361.81;2
138;605.76;367.67;1
139;506.07;421.25;1
140;665.89;616.67;1
141;541.99;541.73;1
142;634.63;603.58;1
143;218.89;698.65;3
144;387.92;508.81;3
145;417.83;466.01;3
146;143.91;269.32;2
147;697.34;365.98;1
148;423.58;567.22;3
149;539.0;423.31;1
150;394.65;310.64;2
151;552.63;557.48;1
152;718.47;358.01;1
153;410.66;599.52;3
154;203.03;275.38;2
155;523.71;575.08;1
156;495.17;359.86;2
157;549.65;629.76;1
158;313.36;606.12;3
159;241.55;608.33;3
160;538.43;356.14;1
161;300.0;300.0;2
162;306.81;531.24;3
163;639.53;564.98;1
164;639.65;611.8;1
165;135.94;216.14;2
166;437.36;585.81;1
167;202.0;353.26;2
168;262.99;211.51;2
169;274.98;498.31;3
170;416.98;139.84;2
171;272.82;335.36;2
172;606.61;457.71;1
173;300.93;244.59;2
174;582.66;503.17;1
175;370.63;184.33;2
176;516.38;640.11;1
177;407.73;512.0;3
178;370.78;100.64;2
179;251.7;652.96;3
180;285.84;376.01;2
181;598.57;493.17;1
182;622.6;639.11;1
183;365.15;604.95;3
184;290.84;143.36;2
185;344.53;509.81;3
186;288.36;485.61;2
187;424.28;170.72;2
188;594.51;525.17;1
189;236.3;447.97;2
190;630.75;607.09;1
191;435.44;729.06;3
192;420.35;592.87;3
193;456.61;436.04;1
194;367.92;269.31;2
195;514.33;452.38;1
196;286.69;295.72;2
197;233.95;468.18;3
198;535.02;561.87;1
199;169.75;341.67;2
200;265.31;656.8;3
201;228.96;620.68;3
202;449.44;519.09;3
203;614.64;366.82;1
204;691.57;370.84;1
205;196.62;139.48;2
206;527.92;418.2;1
207;150.91;478.34;3
208;228.83;250.79;2
209;398.92;378.19;2
210;668.25;440.53;1
211;237.01;202.19;2
212;476.05;491.37;1
213;303.93;419.42;2
214;560.98;450.49;1
215;391.79;292.79;2
216;271.26;174.67;2
217;358.03;514.79;3
218;248.21;242.16;2
219;284.24;431.06;2
220;432.85;478.96;3
221;385.7;206.18;2
222;417.24;496.78;3
223;697.79;390.55;1
224;465.28;380.34;1
225;509.21;518.41;1
226;627.15;468.73;1
227;417.9;591.73;3
228;435.09;631.56;1
229;351.24;279.29;2
230;214.35;499.36;3
231;488.86;559.16;1
232;352.6;258.53;2
233;678.81;513.81;1
234;500.63;433.42;1
235;534.07;571.12;1
236;131.09;361.9;2
237;709.09;597.99;1
238;319.71;542.68;3
239;371.94;453.88;2
240;233.65;642.39;3
241;423.0;373.89;2
242;342.74;652.1;3
243;270.64;514.16;3
244;344.27;582.6;3
245;418.67;360.33;2
246;300.0;600.0;3
247;305.19;624.66;3
248;708.1;559.41;1
249;544.29;418.3;1
250;716.12;361.14;1
251;313.34;676.64;3
252;571.28;623.56;1
253;444.21;744.95;3
254;424.08;726.96;3
255;400.39;506.83;3
256;646.42;484.8;1
257;392.16;311.83;2
258;570.0;500.0;1
259;311.38;434.96;2
260;313.92;592.8;3
261;246.08;319.25;2
262;674.12;372.3;1
263;437.71;559.64;3
264;361.34;640.99;3
265;464.87;133.28;2
266;130.65;159.57;2
267;432.61;605.55;3
268;318.15;535.6;3
269;305.79;688.52;3
270;553.25;416.57;1
271;581.1;364.14;1
272;449.02;552.45;1
273;365.03;494.26;3
274;313.54;419.44;2
275;363.87;638.78;3
276;295.81;574.21;3
277;492.03;389.27;1
278;521.19;631.92;1
279;653.22;418.47;1
280;296.34;605.87;3
281;198.25;373.36;2
282;396.11;728.63;3
283;420.46;239.14;2
284;702.76;426.18;1
285;681.22;633.82;1
286;628.02;515.2;1
287;699.64;475.6;1
288;327.93;461.35;2
289;106.36;279.37;2
290;354.97;105.64;2
291;163.37;683.07;3
292;283.62;579.47;3
293;388.38;525.54;3
294;431.92;557.62;3
295;463.69;429.29;2
296;653.54;602.94;1
297;238.25;425.6;2
298;434.59;502.19;1
299;460.1;346.69;2
300;195.46;496.34;2
